deal_name,rut_encontrado,rut_fuente,score,vertical,pain_point,reasoning,charon_ok,Industry,Área de la empresa,Deal Stage
Retorna,76901962-6,gemini,12.0,Otro,"Gestión y verificación de proveedores de servicios TI y consultoría, cumplimiento normativo en contrataciones de terceros","La empresa es una consultora de informática y gestión de instalaciones IT sin clasificación en verticales regulados (Financiero, Mining/Energía, Utilities, Manufactura Retail), por lo que se clasifica en 'Otro'. No hay evidencia de regulación específica por CMF, Sernageomin, SEC o CNE (puntuación 0). Con 13 trabajadores y tamaño mediano, se estima <50 proveedores dado el perfil de consultoría boutique (puntuación 0). No existe señal externa reportada (N/A = 0). El pain point se vincula a que como consultora IT requiere gestionar proveedores técnicos y cumplir KYB en contrataciones, área donde Plutto agrega valor.",True,Fintech,Compliance,Z - Closed Lost 
RedCapital,76400275-K,gemini,30.0,Otro,"Gestión y verificación de cumplimiento normativo de múltiples proveedores de servicios tecnológicos e informáticos, asegurando estándares de seguridad y calidad en outsourcing de infraestructura IT","REDCAPITAL es una empresa de consultoría informática y gestión de instalaciones IT (mediana, 83 trabajadores) que no se alinea con verticales regulados como Financiero, Mining/Energía o Utilities. Se clasifica como 'Otro'. No hay evidencia de regulación externa específica (CMF, Sernageomin, SEC, CNE), por lo que regulación = 0. Como empresa de consultoría y gestión IT de tamaño mediano, probablemente maneja entre 50-200 proveedores de hardware, software, servicios cloud y telecomunicaciones (puntuación 15). Sin señal externa reportada (N/A), la puntuación es 0. El pain_point se enfoca en KYB de proveedores tecnológicos, que es crítico para empresas de este sector.",True,Fintech,,Z - Closed Lost 
Southbridge Insurance,,no_encontrado,,,,,,Fintech,Compliance,Z - Closed Lost 
Aclara Resources,,no_encontrado,,,,,,Forestal,,Z - Closed Lost 
Grupo Hijuelas,,no_encontrado,,,,,,Forestal,Legal,Z - Closed Lost 
HDI,,no_encontrado,,,,,,Health,,Z - Closed Lost 
HealthAtom,,no_encontrado,,,,,,Health,,Z - Closed Lost 
imalab.,76244189-6,gemini,53.0,Otro,"Gestión de proveedores de insumos clínicos y cumplimiento regulatorio en laboratorios clínicos (ISO 15189, regulaciones sanitarias)","IMALAB es un laboratorio clínico que probablemente está regulado por la autoridad sanitaria (ISP/MINSAL) dado que realiza actividades de diagnóstico clínico. Se asignan 15 puntos por regulación. En cuanto a proveedores, un laboratorio clínico de 132 trabajadores típicamente maneja entre 50-200 proveedores de reactivos, equipos médicos e insumos especializados, por lo que se estiman 15 puntos. No hay señal externa reportada (N/A = 0 puntos). Como gran empresa en sector sanitario con requisitos regulatorios complejos, es un prospect relevante para Plutto.",True,Health,,Z - Closed Lost 
Isapre Consalud,96856780-2,gemini,63.0,Financiero,Gestión de cumplimiento regulatorio de proveedores y afiliados en sector salud; validación de identidad y antecedentes de prestadores de servicios médicos.,"ISAPRE CONSALUD es una institución de salud previsional regulada por la Superintendencia de Salud (parte del ecosistema regulatorio CMF-like). Se clasifica como Financiero por su naturaleza de intermediario de servicios financieros/sanitarios. Con 2.152 trabajadores (gran empresa) y operaciones en salud, probablemente maneja 50-200 proveedores (clínicas, laboratorios, farmacias, prestadores). Está regulada por autoridades sanitarias chilenas (15 puntos). Sin señal externa reportada (0 puntos). El pain_point identificado es crítico en su contexto: necesita validar proveedores de servicios de salud continuamente para cumplir normativas.",True,Health,Compliance,Z - Closed Lost 
Itf-Labomed,96884770-8,gemini,60.0,Manufactura Retail,Gestión de cumplimiento normativo en cadena de suministro farmacéutico y validación de proveedores críticos para asegurar calidad y trazabilidad de medicamentos,"La empresa es fabricante de productos farmacéuticos clasificada en Manufactura Retail. Está regulada por autoridad sanitaria (probable regulación farmacéutica) otorgando 15 puntos. Con 372 trabajadores y operaciones de manufactura farmacéutica, se estima manejo de 50-200 proveedores (insumos químicos, materias primas, servicios especializados) otorgando 15 puntos. Sin señal externa reportada: 0 puntos. El sector farmacéutico requiere validación rigurosa de proveedores y cumplimiento normativo intensivo, alineado con la solución KYB de Plutto.",True,Health,Abastecimiento,Z - Closed Lost 
pasteur,87674400-7,gemini,63.0,Manufactura Retail,Gestión de cumplimiento regulatorio en cadena de suministro farmacéutica y validación de proveedores bajo normativas sanitarias strictas,"Laboratorio Pasteur es fabricante farmacéutico clasificado en Manufactura Retail por su actividad de producción y distribución de medicamentos. Está regulada por autoridades sanitarias (ISP/Minsal) y potencialmente por organismos de control de medicamentos, justificando puntuación de regulación en 15. Como fabricante de escala industrial (620 trabajadores, gran empresa), requiere múltiples proveedores de materias primas, insumos químicos y componentes de empaque, estimado entre 50-200 proveedores (puntuación 15). Sin señales externas reportadas (N/A), se asigna 0 en señal. El pain point principal es asegurar cumplimiento regulatorio farmacéutico en toda la cadena de suministro, donde Plutto puede validar KYB de proveedores críticos.",True,Health,,Z - Closed Lost 
Red Interclinica,,no_encontrado,,,,,,Health,Abastecimiento,Z - Closed Lost 
Pharmatech Chile,76113734-4,gemini,55.0,Manufactura Retail,"Gestión compleja de cumplimiento regulatorio farmacéutico, verificación de proveedores y distribuidores autorizados, y trazabilidad de productos en cadena de suministro regulada.","La empresa se clasifica en 'Manufactura Retail' por ser distribuidor mayorista de productos farmacéuticos. Recibe 15 puntos en regulación porque el sector farmacéutico en Chile está bajo supervisión de autoridades sanitarias y organismos reguladores (ISP, ANAMED). Recibe 15 puntos en proveedores estimando entre 50-200 proveedores típicos para un mayorista farmacéutico de 33 empleados. Sin señal externa reportada (N/A = 0 puntos). El tamaño ya fue evaluado en 20 puntos según datos proporcionados.",True,Health,,Z - Closed Lost 
Valtek,,no_encontrado,,,,,,Health,,Z - Closed Lost 
AB ARRIENDOS S.A. - TGP,,no_encontrado,,,,,,Inmobiliaria,,Z - Closed Lost 
Besalco S.A. - proveedores,,no_encontrado,,,,,,Inmobiliaria,,Z - Closed Lost 
Cyd ingeniería,,no_encontrado,,,,,,Inmobiliaria,,Z - Closed Lost 
Bodegas San Francisco,76.098.820-0,gemini,0.0,Otro,Falta de visibilidad sobre estructura corporativa y cumplimiento normativo básico debido a información incompleta en registros públicos,"Sin razón social, giro desconocido ni información de tamaño, no es posible clasificar en verticales específicos. Se asigna 'Otro' por defecto. Regulación: 0 puntos, no hay indicios de ser empresa regulada por CMF, Sernageomin, SEC o CNE. Proveedores: 0 puntos, sin datos de escala ni operaciones. Señal: 0 puntos, sin información externa disponible (N/A). La empresa presenta un perfil opaco con datos mínimos, lo que sugiere que podría beneficiarse de soluciones de KYB para clarificar su información corporativa y cumplimiento.",False,Inmobiliaria,,Z - Closed Lost 
Grupo Patio V2,,no_encontrado,,,,,,Inmobiliaria,,Z - Closed Lost 
Galilea S.A,94636000-7,gemini,40.0,Otro,"Gestión y verificación de identidad de múltiples proveedores inmobiliarios y contratistas en transacciones de compra, venta y alquiler de propiedades","La empresa se clasifica en 'Otro' porque su giro (compra, venta y alquiler de inmuebles) no corresponde a los verticales específicos disponibles. No hay evidencia de regulación por CMF, Sernageomin, SEC o CNE (puntuación 0). Como empresa grande (225 trabajadores) en el sector inmobiliario, probablemente maneja entre 50-200 proveedores (contratistas, constructores, intermediarios, servicios), asignando 15 puntos. Sin señal externa reportada, se asigna 0. El pain point refleja la necesidad típica de verificar y cumplir con regulaciones KYB sobre proveedores en operaciones inmobiliarias.",True,Inmobiliaria,,Z - Closed Lost 
Inmobiliaria e Inversiones Río Claro,,no_encontrado,,,,,,,,
Inmobiliaria Elqui,,no_encontrado,,,,,,Inmobiliaria,Comercial,Z - Closed Lost 
Maestra Inmobiliaria - proveedores,,no_encontrado,,,,,,Inmobiliaria,,Z - Closed Lost 
Inmobiliaria Metra,,no_encontrado,,,,,,Inmobiliaria,Comercial,Z - Closed Lost 
MallPlaza - Evauacion comercial LATAM,,no_encontrado,,,,,,Inmobiliaria,Otro,Z - Closed Lost 
Promet DD,,no_encontrado,,,,,,Inmobiliaria,Abastecimiento,Z - Closed Lost 
Jedimar Inversiones // Starken,,no_encontrado,,,,,,Inversiones,,Z - Closed Lost 
Orionx.com,76801011-0,gemini,53.0,Financiero,Gestión de cumplimiento regulatorio y KYB de contrapartes en transacciones financieras y de inversión,"ORIONX opera en el giro de fondos y sociedades de inversión, clasificándose claramente en el vertical Financiero. Como entidad que gestiona fondos e inversiones, está regulada por la CMF (Comisión para el Mercado Financiero), asignando 15 puntos. Estima ~50-200 proveedores típicos de una plataforma financiera (gestores, custodios, administradores, proveedores tecnológicos), asignando 15 puntos. Sin señal externa reportada (N/A), asigna 0 puntos. El pain point principal es la necesidad de validar y mantener KYB actualizado de contrapartes en operaciones de inversión, cumpliendo normas ALD/CFT de la CMF.",True,Inversiones,Compliance,Z - Closed Lost 
Agencia de Aduana Pedro Serrano,88824300-3,gemini,45.0,Otro,Gestión de cumplimiento normativo aduanal y validación de identidad de múltiples clientes/proveedores en operaciones de comercio exterior,"La empresa es una agencia de aduanas, clasificada en 'Otro' ya que no corresponde a los verticales listados. Recibe 15 puntos en regulación porque las agencias de aduanas están bajo supervisión del Servicio Nacional de Aduanas (regulación estatal obligatoria). En proveedores, se estima 50-200 (15 puntos) considerando que una agencia de aduanas típicamente gestiona múltiples clientes importadores/exportadores y servicios logísticos asociados, pero no es un volumen masivo. Sin señal externa reportada (N/A), recibe 0 puntos. El pain_point se enfoca en la necesidad crítica de validar contrapartes en operaciones aduanales, donde KYB es fundamental para compliance regulatorio.",True,Logística,Comercial,Z - Closed Lost 
Blue Express,96938840-5,gemini,75.0,Utilities/Infraestructura,"Gestión y verificación de cumplimiento normativo de múltiples proveedores y contratistas en el transporte de carga, incluyendo documentación de licencias, permisos de transporte y certificaciones de seguridad vial.","Blue Express es una empresa de transporte de carga por carretera con 2,071 trabajadores (gran empresa). Se clasifica en Utilities/Infraestructura por su rol crítico en la cadena logística nacional. Está regulada por la SEC (Superintendencia de Electricidad y Combustibles) y organismos de transporte (SENDA, CONASET) respecto a seguridad vial y operaciones. Con este tamaño y modelo operativo, estima >200 proveedores (combustible, repuestos, mantenimiento, logística, seguros). Sin señal externa reportada (N/A). El pain point principal es el cumplimiento normativo complejo en transporte, donde Plutto puede automatizar la verificación de KYB de proveedores críticos.",True,Logística,Abastecimiento,Z - Closed Lost 
DSV,,no_encontrado,,,,,,Logística,Proyectos,Z - Closed Lost 
Grupo CPT,,no_encontrado,,,,,,Logística,,Z - Closed Lost 
Empresa Portuaria Chacabuco,61959100-3,gemini,47.0,Utilities/Infraestructura,"Gestión de cumplimiento normativo y verificación de proveedores en servicios portuarios y de almacenamiento, con requisitos regulatorios complejos de la autoridad portuaria.","La empresa es una portuaria ubicada en Aysén que opera servicios de almacenamiento y depósito. Se clasifica en Utilities/Infraestructura por su naturaleza de infraestructura portuaria crítica. Probablemente está regulada por autoridades portuarias y organismos marítimos (puntaje 15). Con 43 trabajadores y operaciones portuarias, se estima manejo de 50-200 proveedores de servicios logísticos, suministros y operacionales (puntaje 15). No se dispone de señal externa relevante (puntaje 0). El tamaño mediana ya fue evaluado en 12 puntos.",True,Logística,Financiero,Z - Closed Lost 
Jungheinrich Chile,,no_encontrado,,,,,,Logística,Abastecimiento,Z - Closed Lost 
Loginsa reconectado,,no_encontrado,,,,,,Logística,,Z - Closed Lost 
Naviera Frasal,,no_encontrado,,,,,,Logística,Abastecimiento,Z - Closed Lost 
Neosecure (Sek),,no_encontrado,,,,,,Logística,Compliance,Z - Closed Lost 
Sitrans - Proveedores,,no_encontrado,,,,,,Logística,,Z - Closed Lost 
Puerto angamos,96789280-7,gemini,58.0,Utilities/Infraestructura,"Gestión y cumplimiento normativo de proveedores portuarios y contratistas en operaciones de transporte acuático, considerando regulaciones marítimas y portuarias","La empresa es una compañía portuaria que presta servicios vinculados al transporte acuático. Se clasifica en Utilities/Infraestructura por su naturaleza de operador portuario de infraestructura crítica. Probablemente está regulada por autoridades portuarias y marítimas (puntaje 15). Con 175 trabajadores y operaciones portuarias, se estima entre 50-200 proveedores (contratistas, servicios logísticos, mantenimiento) dando puntaje 15. Sin señal externa reportada (N/A = 0). El pain_point se centra en cumplimiento normativo de terceros en un sector altamente regulado.",True,Logística,,Z - Closed Lost 
Transdev - Compliance,,no_encontrado,,,,,,Logística,,Z - Closed Lost 
Sotraser,78057000-8,gemini,63.0,Utilities/Infraestructura,Gestión de cumplimiento normativo en transporte de carga y verificación de proveedores logísticos para asegurar trazabilidad y regulaciones de seguridad vial,"SOTRASER es una empresa de transporte de carga por carretera con 653 trabajadores (gran empresa). Se clasifica en Utilities/Infraestructura por su rol crítico en la cadena logística nacional. Está regulada por entidades como SERNAGEOMIN (materiales peligrosos), SEC (si transporta valores) y normativas de tránsito, justificando 15 puntos en regulación. Con 653 empleados y operaciones de transporte, estima tener entre 50-200 proveedores (combustible, mantenimiento, seguros, subcontratistas), asignando 15 puntos. Sin señal externa reportada = 0 puntos. El pain point principal es la verificación y compliance de una red amplia de proveedores logísticos bajo regulaciones de transporte.",True,Logística,,Z - Closed Lost 
BEUMER Group,,no_encontrado,,,,,,Manufactura,,Z - Closed Lost 
Aminochem,76361469-7,gemini,40.0,Manufactura Retail,Gestión y verificación de proveedores de materias primas agrícolas para asegurar compliance y calidad en la cadena de suministro,"La empresa se clasifica en Manufactura Retail porque opera en venta al por mayor de materias primas agrícolas, un modelo B2B de distribución. No está regulada por CMF, Sernageomin, SEC o CNE directamente. Con 27 trabajadores y operación de mayorista agrícola, se estima entre 50-200 proveedores (puntuación 15). Sin señal externa reportada (N/A = 0 puntos). El pain point principal es la verificación y compliance de proveedores en la cadena agrícola.",True,,,
CCU - Conflicto de Interés,,no_encontrado,,,,,,Manufactura,Auditoria Interna,Z - Closed Lost 
Cementos Bio Bio Debida Diligencia,,no_encontrado,,,,,,Manufactura,Abastecimiento,Z - Closed Lost 
CMPC,90222000-3,gemini,58.0,Manufactura Retail,"Gestión y compliance de una cadena extensa de proveedores de materias primas y servicios en industria papelera, con necesidad de verificación continua de antecedentes y cumplimiento normativo","CMPC es una gran empresa manufacturera (917 empleados) dedicada a fabricación de papel y cartón industrial. Se clasifica en Manufactura Retail por su naturaleza de producción industrial a escala. No está regulada por CMF, Sernageomin, SEC o CNE específicamente. Dada su tamaño y complejidad operativa en manufactura, se estima >200 proveedores (puntuación 25). Sin señal externa reportada (N/A = 0). El pain point principal es la gestión de compliance en una cadena de suministro extensa típica de empresas papeleras que requieren múltiples proveedores de celulosa, químicos, energía y servicios logísticos.",True,Manufactura,,Z - Closed Lost 
CMPC (proveedores),,no_encontrado,,,,,,Manufactura,Abastecimiento,Z - Closed Lost 
CIC,93830000-3,gemini,50.0,Manufactura Retail,Gestión y verificación de múltiples proveedores de muebles y colchones para asegurar cumplimiento normativo y evitar riesgos reputacionales en la cadena de suministro,"La empresa se clasifica en Manufactura Retail por su giro de venta al por menor de muebles y colchones en comercios especializados. Con 1324 trabajadores es una gran empresa (20 puntos ya contabilizados). No está regulada por entidades financieras, minería, energía o utilities, por lo que regulacion=0. Siendo una empresa retail de tamaño considerable, probablemente maneja entre 50-200 proveedores de muebles y colchones (puntaje 15). Sin señal externa reportada (N/A), asignamos 0 puntos. El pain point se enfoca en la verificación de proveedores, un caso de uso clave para Plutto en empresas retail con cadenas de suministro complejas.",True,Manufactura,Abastecimiento,Z - Closed Lost 
Compañía Papelera Pacífico,,no_encontrado,,,,,,Manufactura,,Z - Closed Lost 
Copreser,,no_encontrado,,,,,,Manufactura,,Z - Closed Lost 
Condensa,93456000-0,gemini,45.0,Manufactura Retail,Gestión y validación de proveedores de materias primas y componentes metálicos para asegurar cumplimiento normativo y calidad en cadena de suministro,"La empresa se clasifica en Manufactura Retail por su giro de fabricación de productos elaborados de metal. Con 230 trabajadores (gran empresa) ubicada en Arica, probablemente no está regulada por CMF, Sernageomin, SEC o CNE, por lo que regulación = 0. Estimamos 50-200 proveedores típicos para una empresa manufacturera de este tamaño (proveedores = 15). Sin señal externa reportada (señal = 0). El pain point principal es la necesidad de KYB para validar proveedores en su cadena de suministro, aspecto crítico para manufactura.",True,Manufactura,,Z - Closed Lost 
Copeval,81290800-6,gemini,48.0,Manufactura Retail,Gestión y verificación de cumplimiento normativo de múltiples proveedores en cadena de suministro agrícola y distribución mayorista,"La empresa se clasifica en 'Manufactura Retail' por su giro de 'venta al por mayor no especializada' combinado con el nombre 'Compañía Agropecuaria', sugiriendo distribución mayorista de productos agrícolas. Con 795 trabajadores (gran empresa) y operaciones de distribución, probablemente gestiona entre 50-200 proveedores (puntuación 15). No hay indicios de regulación específica por CMF, Sernageomin, SEC o CNE (puntuación 0). Sin señal externa reportada (puntuación 0). El pain_point se enfoca en la necesidad de KYB para validar proveedores en su cadena de suministro.",True,Manufactura,Financiero,Z - Closed Lost 
Cristal Chile contratistas,,no_encontrado,,,,,,Manufactura,,Z - Closed Lost 
Envases CMF S.A. - Compliance,,no_encontrado,,,,,,Manufactura,Compliance,Z - Closed Lost 
Faber-Castell,,no_encontrado,,,,,,Manufactura,,Z - Closed Lost 
Crystal Lagoons - Complinace,76253756-7,gemini,2.0,Otro,"Gestión y verificación de proveedores y contrapartes en procesos de consultoría de gestión, especialmente para cumplimiento normativo en transacciones B2B","Crystal Lagoons Chile SPA es una empresa de consultoría de gestión sin clasificación en verticales específicos regulados (Financiero, Mining/Energía, Utilities, Manufactura Retail). Se clasifica como 'Otro' dado que el giro es genérico de consultoría. No hay indicadores de regulación específica por CMF, Sernageomin, SEC o CNE aplicable a consultoría general. Como micro-empresa (0 trabajadores reportados) con estructura simple (sin empresas padre/hija), probablemente maneja <50 proveedores (puntuación 0). Sin señal externa reportada (N/A). Sin embargo, como consultora de gestión, podría beneficiarse de Plutto para validar y hacer KYB de sus propios clientes y contrapartes en proyectos de consultoría.",True,Manufactura,Financiero,Z - Closed Lost 
Grupo Bañados,,no_encontrado,,,,,,Manufactura,Financiero,Z - Closed Lost 
Fastpack,78295070-3,gemini,45.0,Manufactura Retail,Gestión y verificación de proveedores de materias primas y componentes metálicos; cumplimiento normativo en cadena de suministro para productos estructurales,"Se clasifica como Manufactura Retail por ser fabricante de productos metálicos estructurales. No hay evidencia de regulación específica por CMF, Sernageomin, SEC o CNE (puntaje 0). Con 447 trabajadores y siendo gran empresa manufacturera, se estima 50-200 proveedores típicos en este sector (puntaje 15). Sin señal externa reportada (N/A = 0). El pain_point se enfoca en KYB de proveedores, relevante para empresas de manufactura con cadenas complejas.",True,Manufactura,,Z - Closed Lost 
Grupo Empack,,no_encontrado,,,,,,,,
Inchalam,,no_encontrado,,,,,,,,
KSB Company,,no_encontrado,,,,,,Manufactura,,Z - Closed Lost 
Küpfer Chile,,no_encontrado,,,,,,,,
Quimetal Clientes,,no_encontrado,,,,,,Manufactura,Financiero,Z - Closed Lost 
Plastigen SpA,96501500-0,gemini,43.0,Manufactura Retail,"Gestión y validación de múltiples proveedores de materias primas y componentes plásticos, asegurando cumplimiento normativo y reduciendo riesgos de fraude en la cadena de suministro","La empresa es fabricante de productos plásticos con 142 trabajadores (gran empresa). Se clasifica en 'Manufactura Retail' por su actividad de manufactura industrial. No hay evidencia de regulación por CMF, Sernageomin, SEC o CNE (no es financiera ni minera). Se estima entre 50-200 proveedores típicos para una empresa de esta envergadura en manufactura (15 puntos). Sin señal externa reportada (0 puntos). No hay regulación específica aplicable (0 puntos).",True,Manufactura,,Z - Closed Lost 
Recupac,,no_encontrado,,,,,,Manufactura,,Z - Closed Lost 
Quimica Passol S.A.,84634200-1,gemini,45.0,Manufactura Retail,Gestión y verificación de identidad de múltiples proveedores de materiales de construcción y ferretería para cumplir con regulaciones de compliance y evitar transacciones con proveedores no autorizados o de riesgo.,"La empresa se clasifica en 'Manufactura Retail' por ser distribuidor mayorista de materiales de construcción y ferretería. No hay indicadores de regulación específica (CMF, Sernageomin, SEC, CNE) aplicables a este tipo de comercio = 0 puntos. Como distribuidor mayorista con 212 trabajadores, probablemente maneja entre 50-200 proveedores (fabricantes y distribuidores de construcción) = 15 puntos. Sin señal externa documentada = 0 puntos. El pain point identificado es la necesidad de verificar y cumplir con KYB en su cadena de proveedores, especialmente relevante en distribución donde hay múltiples contrapartes comerciales.",True,Manufactura,,Z - Closed Lost 
securitaschile,,no_encontrado,,,,,,Manufactura,Abastecimiento,Z - Closed Lost 
SPL- Proveedores,,no_encontrado,,,,,,Manufactura,,Z - Closed Lost 
Royal America,76538705-1,gemini,23.0,Financiero,Gestión de cumplimiento regulatorio ante CMF y validación de identidad/antecedentes de clientes e inversores,"La empresa se clasifica como Financiero porque su giro explícito menciona 'FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES', lo que indica actividades de gestión de inversiones. Recibe 15 puntos en regulación por estar bajo supervisión de la CMF (Comisión para el Mercado Financiero) al operar fondos de inversión en Chile. Obtiene 0 puntos en proveedores por falta de información y ser empresa pequeña (0 trabajadores reportados), lo que sugiere baja complejidad operativa. Sin señal externa registrada (N/A), recibe 0 puntos. El pain_point se orienta a compliance regulatorio y KYB, áreas core de Plutto.",True,Manufactura,Compliance,Z - Closed Lost 
Sugal Group,,no_encontrado,,,,,,Manufactura,,Z - Closed Lost 
Tecnopapel,76075072-7,gemini,45.0,Manufactura Retail,"Gestión y verificación de múltiples proveedores de artículos de papelería y escritorio, asegurando cumplimiento normativo y mitigación de riesgos en la cadena de suministro.","TECNOPAPEL es una empresa de venta al por mayor de artículos de papelería, clasificable en Manufactura Retail dado su modelo de distribución B2B. Con 262 trabajadores, representa una gran empresa con operaciones significativas. No hay evidencia de regulación sectorial específica (CMF, Sernageomin, SEC, CNE), por lo que regulación = 0. Como distribuidor mayorista, estima tener entre 50-200 proveedores (puntos = 15). Sin señal externa registrada (N/A), puntuación = 0. El pain_point se enfoca en la necesidad de KYB para gestionar proveedores en una cadena de suministro compleja.",True,Manufactura,Financiero,Z - Closed Lost 
Eecol,,no_encontrado,,,,,,Marketplace,,Z - Closed Lost 
Virbac,76247076-4,gemini,53.0,Financiero,Gestión de cumplimiento regulatorio ante CMF y validación de identidad de contrapartes financieras en operaciones de inversión,"La empresa se clasifica como Financiero porque su giro explicita 'FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES', indicando actividades de gestión de fondos/inversiones. Regulación: 15 puntos porque empresas de este tipo están reguladas por la CMF (Comisión para el Mercado Financiero). Proveedores: 15 puntos estimados en rango 50-200, considerando que una gestora de fondos típicamente tiene múltiples contrapartes (custodios, administradores, brokers, proveedores de servicios) pero no es una operación masiva. Señal: 0 puntos porque no hay señal externa proporcionada (N/A). El pain_point se enfoca en cumplimiento regulatorio y KYB, core de Plutto.",True,Manufactura,Abastecimiento,Z - Closed Lost 
Termomin,86667200-8,gemini,58.0,Mining/Energía,"Gestión y cumplimiento normativo de proveedores en cadena de suministro de maquinaria para minería, con regulaciones de Sernageomin y estándares de seguridad industrial.","La empresa se clasifica en Mining/Energía porque su giro específico es la fabricación de maquinaria para explotación de minas y canteras. Esto la posiciona bajo regulación de Sernageomin (puntaje 15). Con 175 trabajadores como gran empresa y siendo fabricante de maquinaria industrial, se estima que maneja entre 50-200 proveedores de componentes, materias primas y servicios especializados (puntaje 15). No hay señal externa reportada (puntaje 0). El pain point se enfoca en la necesidad crítica de KYB para proveedores en un sector altamente regulado y con exigencias de compliance.",True,Manufactura,Abastecimiento,Z - Closed Lost 
RHEEM,,no_encontrado,,,,,,Marketplace,,Z - Closed Lost 
AZA Acero Sostenible,,no_encontrado,,,,,,Minería,Auditoria Interna,Z - Closed Lost 
Codelco - Contratistas,,no_encontrado,,,,,,Minería,,Z - Closed Lost 
Codelco - TGP,,no_encontrado,,,,,,Minería,,Z - Closed Lost 
Antofagasta Minerals,93920000-2,gemini,73.0,Mining/Energía,"Gestión y compliance de una cadena de proveedores extensa en operaciones mineras, con requisitos regulatorios de Sernageomin y estándares de seguridad críticos.","La empresa se clasifica en Mining/Energía por su giro explícito 'EXPLOTACION DE OTRAS MINAS Y CANTERAS N.C.P.' y nombre comercial que sugiere operaciones mineras. Regulación: 15 puntos por estar sujeta a supervisión de Sernageomin (regulador de minería en Chile). Proveedores: 25 puntos, ya que una gran empresa minera (878 trabajadores, tramo SII 13) típicamente gestiona >200 proveedores en servicios, suministros, contratistas y logística. Señal: 0 puntos, no hay información de señal externa. El pain point se enfoca en la complejidad de KYB en operaciones mineras con múltiples proveedores y requisitos regulatorios estrictos.",True,Minería,Abastecimiento,Z - Closed Lost 
Hitachi CM,,no_encontrado,,,,,,,,
Collahuasi - Nuevo negocio,,no_encontrado,,,,,,Minería,,Z - Closed Lost 
Hitachi Construction Machinery,,no_encontrado,,,,,,Minería,Financiero,Z - Closed Lost 
Fluitek,96946910-3,gemini,58.0,Mining/Energía,"Gestión y compliance de una cadena de proveedores complejos en servicios especializados para minería, petróleo y construcción, con requisitos regulatorios exigentes de Sernageomin.","FLUITEK CHILE es una empresa de reparación de maquinaria especializada en minería, petróleo y construcción. Se clasifica en Mining/Energía porque su giro principal está dirigido a estos sectores. Regulación: 15 puntos porque las empresas de servicios para minería y petróleo están sujetas a fiscalización de Sernageomin y normativas de seguridad ocupacional exigentes. Proveedores: 15 puntos (estimado 50-200) dado que es una empresa mediana-grande (161 trabajadores) en servicios especializados que requiere proveedores de repuestos, insumos y subcontratistas especializados, pero no alcanza la escala de >200 por su naturaleza de servicio. Señal: 0 puntos porque no se proporciona información de eventos relevantes (N/A).",True,Minería,,Z - Closed Lost 
IKA Empresas,,no_encontrado,,,,,,Minería,,Z - Closed Lost 
Linde High Lift Chile,,no_encontrado,,,,,,,,
Lunding Mining,,no_encontrado,,,,,,Minería,,Z - Closed Lost 
Le Pascui,96716340-6,gemini,32.0,Manufactura Retail,Gestión y validación de proveedores de partes automotrices para asegurar cumplimiento normativo y mitigar riesgos en la cadena de suministro,"La empresa se clasifica en 'Manufactura Retail' por su giro de venta de partes y accesorios automotores. No está regulada por entidades como CMF, Sernageomin, SEC o CNE (puntuación 0). Se estiman 50-200 proveedores considerando que es una distribuidora de autopartes con 9 trabajadores en Iquique, requiriendo múltiples proveedores de manufactura y distribución (puntuación 15). Sin señal externa reportada (N/A = 0). El pain point se enfoca en KYB de proveedores, área crítica para empresas del sector automotor que necesitan validar a sus socios comerciales.",True,Minería,,Z - Closed Lost 
Marimaca Copper,,no_encontrado,,,,,,Minería,Financiero,Z - Closed Lost 
MPM,,no_encontrado,,,,,,Minería,Abastecimiento,Z - Closed Lost 
Master Drilling,96764560-5,gemini,60.0,Mining/Energía,"Gestión y compliance de múltiples proveedores y contratistas en operaciones mineras, incluyendo validación de licencias, antecedentes regulatorios y cumplimiento normativo de Sernageomin","La empresa Master Drilling Chile opera en actividades de apoyo para explotación minera (giro explícito), lo que la clasifica en Mining/Energía. Como prestador de servicios mineros está regulada por Sernageomin (puntos regulación: 15). Con 235 trabajadores y siendo una empresa de servicios especializados en minería, probablemente maneja entre 50-200 proveedores de equipos, materiales y servicios complementarios (puntos proveedores: 15). Sin señal externa declarada (N/A), se asignan 0 puntos en ese rubro.",True,,,
Norte abierto,77116500-1,gemini,47.0,Mining/Energía,"Gestión y validación de proveedores en cadena de suministro minero, cumplimiento normativo ante Sernageomin y regulaciones ambientales, y verificación de identidad de contrapartes en operaciones extractivas.","La empresa se clasifica en Mining/Energía debido a su giro explícito de extracción de minerales metálicos no ferrosos. Está regulada por Sernageomin (15 puntos) dado que realiza actividad minera. Con 47 trabajadores (mediana) y operaciones extractivas, se estima entre 50-200 proveedores (15 puntos), considerando cadena de suministro típica de minería. No hay señal externa reportada (0 puntos). El pain point principal es la necesidad de compliance y KYB en transacciones con múltiples proveedores y cumplimiento regulatorio sectorial.",True,Minería,,Z - Closed Lost 
Sigma SA,,no_encontrado,,,,,,Minería,,Z - Closed Lost 
SQM - Gestión Proveedores,,no_encontrado,,,,,,Minería,Supply Chain,Z - Closed Lost 
