RUT_DV;Razón social;Tramo según ventas;Número de trabajadores;Tipo de contribuyente;Actividad económica;Región;Segmento;Scored;score;vertical;pain_point;reasoning;num_hijos;num_padres;Nombre_Fantasia;Sitio_Web;Confianza_Lookup
65144438-1;JOINT VENTURE ALTO EL LOA AA.GG;10;77;ORG. SIN FINES DE LUCRO;TRANSPORTE DE CARGA POR CARRETERA;II REGION DE ANTOFAGASTA;Utilities / Infraestructura;True;58.0;Utilities/Infraestructura;Gestión de riesgos y cumplimiento normativo en la cadena de suministro de infraestructura y servicios básicos, considerando múltiples reguladores y stakeholders.;Empresa clasificada en Utilities/Infraestructura con 77 trabajadores (gran empresa). Al operar en este sector, está probablemente regulada por CNE (Comisión Nacional de Energía) dado que una Joint Venture en Alto el Loa (Antofagasta) típicamente maneja servicios de infraestructura/energía. Estimación de 50-200 proveedores basada en: tamaño de gran empresa, naturaleza del giro que requiere múltiples insumos y servicios especializados, pero sin ser masiva como manufactura. Sin señal externa reportada (N/A). El pain point se enfoca en debida diligencia de proveedores bajo regulación múltiple, relevante para Plutto.;0.0;2.0;;;
59241870-3;GUERRA GLOBAL TRADING, AGENCIA EN CHILE;11;30;SOCIEDADES EXTRANJERAS;VENTA AL POR MAYOR DE METALES Y MINERALES METALIFEROS;XIII REGION METROPOLITANA;Mining / Energía;True;58.0;Mining/Energía;Gestión y evaluación de riesgos de proveedores en cadena de suministro internacional de recursos mineros y energéticos, cumplimiento normativo con reguladores como Sernageomin y CNE.;La empresa es una agencia comercial en sector Mining/Energía, por lo que está sujeta a regulación de Sernageomin (para actividades mineras) y potencialmente CNE (si participa en energía). Como gran empresa (20 puntos) con operaciones internacionales (trading global) en sector de recursos naturales, probablemente maneja entre 50-200 proveedores distribuidos geográficamente. Sin señales externas reportadas (N/A). El ICP es moderadamente alto por regulación sectorial y complejidad operativa inherente.;1.0;1.0;;;
59063490-5;CIA PANAMENA DE AVIACION S A SUCURSAL DE CHILE;13;24;SOCIEDADES EXTRANJERAS;TRANSPORTE DE PASAJEROS POR VIA AEREA;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;58.0;Utilities/Infraestructura;Gestión de cumplimiento regulatorio y debida diligencia de proveedores en operaciones de aviación y transporte aéreo internacional;Empresa de aviación (giro Utilities/Infraestructura) con operaciones internacionales (sucursal de empresa panameña). La regulación aérea es crítica: CNE (Comisión Nacional de Energía podría aplicar en algunos aspectos de infraestructura) y reguladores específicos de aviación civil son relevantes, asignando 15 puntos. Con 24 trabajadores (gran empresa) y siendo operador aéreo, estima probablemente 50-200 proveedores (mantenimiento, combustible, servicios logísticos, catering), asignando 15 puntos. Sin señal externa reportada (N/A = 0 puntos). El dolor principal es cumplir con múltiples regulaciones de aviación y evaluar proveedores críticos para seguridad operacional.;1.0;1.0;;;
59144770-K;ASTALDI SUCURSAL CHILE;13;401;SOCIEDADES EXTRANJERAS;CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL;XIII REGION METROPOLITANA;Manufactura / Retail;True;58.0;Manufactura Retail;Gestión y evaluación de riesgos en cadena de suministro compleja con múltiples proveedores nacionales e internacionales;ASTALDI es una gran empresa constructora/manufacturera (401 trabajadores, tramo SII 13) con estructura corporativa compleja (1 empresa padre, 1 hija). No está regulada por CMF, Sernageomin, SEC o CNE. Por su tamaño y naturaleza de operaciones en manufactura/retail, probablemente maneja más de 200 proveedores (construcción/manufactura típicamente requiere cadenas de suministro amplias). Sin señal externa reportada (N/A). El principal valor de Plutto sería mitigar riesgos de cumplimiento normativo y debida diligencia en su amplio ecosistema de proveedores.;1.0;1.0;;;
76002189-K;SOCIEDAD COMERCIAL CRISTIAN JIMENEZ Y COMPANIA LIMITADA;10;46;PERSONA JURIDICA COMERCIAL;TRANSPORTE DE CARGA POR CARRETERA;II REGION DE ANTOFAGASTA;Utilities / Infraestructura;True;58.0;Utilities/Infraestructura;Gestión de cumplimiento regulatorio y debida diligencia de proveedores en sector utilities, donde hay múltiples organismos fiscalizadores y requisitos de licencias operacionales complejos.;La empresa opera en Utilities/Infraestructura en Antofagasta, sector regulado por CNE (Comisión Nacional de Energía) y potencialmente Sernageomin según activos. Con 46 trabajadores (gran empresa) y 1 empresa hija, probablemente maneja entre 50-200 proveedores críticos para operaciones de infraestructura. Regulación: 15 pts (CNE y/o Sernageomin aplican). Proveedores: 15 pts (rango 50-200 estimado por tamaño y naturaleza operacional). Señal: 0 pts (N/A no proporciona información de trigger). El sector requiere validación constante de cumplimiento regulatorio en cadena de suministro.;1.0;0.0;;;
76002896-7;TRANSPORTES DONA OFELIA LIMITADA;10;93;PERSONA JURIDICA COMERCIAL;TRANSPORTE DE CARGA POR CARRETERA;VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;Utilities / Infraestructura;True;58.0;Utilities/Infraestructura;Gestión y cumplimiento regulatorio de proveedores de transporte e infraestructura, con enfoque en seguridad operacional y conformidad normativa.;La empresa opera en el giro de Utilities/Infraestructura como transportista, lo que la expone a regulación de la CNE y organismos de seguridad vial. Con 93 trabajadores (gran empresa) y presencia en operaciones de infraestructura, típicamente maneja entre 50-200 proveedores (logística, combustible, mantenimiento, seguros). No hay señal externa reportada. El principal desafío es la evaluación continua de proveedores en un sector regulado donde la debida diligencia es crítica para mitigación de riesgos operacionales y cumplimiento normativo.;0.0;0.0;;;
70017860-9;COOP DE AHORRO Y CREDITO EL DETALLISTA LTDA;11;322;ORG. SIN FINES DE LUCRO;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;XIII REGION METROPOLITANA;Financiero;True;58.0;Financiero;Gestionar la debida diligencia y evaluación de riesgos de proveedores, clientes y colaboradores en cumplimiento de normativas regulatorias de la CMF;Como cooperativa de ahorro y crédito, está bajo supervisión de la CMF (15 puntos regulación). Con 322 trabajadores (gran empresa) y operaciones financieras, probablemente maneja entre 50-200 proveedores (15 puntos proveedores). No hay señal externa reportada (0 puntos). El pain point se centra en que entidades financieras reguladas requieren evaluación continua de terceros para cumplir normativas de prevención de fraude y lavado de dinero, siendo exactamente el servicio que Plutto ofrece.;0.0;0.0;;;
52004641-0;EDUARDO VEGA HUERTA PREST DESERV ESP ING CONST Y MONT EN GRAL E I R L;11;961;PERSONA JURIDICA COMERCIAL;CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL;III REGION DE ATACAMA;Manufactura / Retail;True;58.0;Manufactura Retail;Gestión y evaluación de riesgos en una cadena de proveedores amplia (>200) para asegurar cumplimiento normativo y mitigar exposición operacional.;La empresa es una gran empresa (961 trabajadores) en el sector Manufactura/Retail con presencia en la III Región. No está regulada por entidades como CMF, Sernageomin, SEC o CNE (puntos regulación = 0). Dado su tamaño e industria, probablemente maneja más de 200 proveedores para operaciones de manufactura y retail (puntos proveedores = 25). No hay señal externa reportada (puntos señal = 0). El pain point principal es la necesidad de due diligence y evaluación de riesgos en una base amplia de proveedores, exactamente lo que Plutto resuelve.;0.0;0.0;;;
61956700-5;EMPRESA PORTUARIA AUSTRAL;11;75;INSTITUCIONES FISCALES;EXPLOTACION DE TERMINALES TERRESTRES DE PASAJEROS;XII REGION DE MAGALLANES Y LA ANTARTICA CHILENA;Mining / Energía;True;58.0;Mining/Energía;Gestión y evaluación de riesgos en cadena de proveedores portuaria con requisitos regulatorios complejos (Sernageomin, CNE) y cumplimiento normativo en operaciones de carga/descarga de minerales y energía.;EMPRESA PORTUARIA AUSTRAL opera en Mining/Energía en Magallanes. Como empresa portuaria en este sector, está regulada por Sernageomin (recursos mineros) y potencialmente CNE (energía), justificando 15 puntos en regulación. Con 75 trabajadores (gran empresa) y operaciones portuarias, estimamos 50-200 proveedores (logística, servicios, mantenimiento), asignando 15 puntos. Sin señal externa reportada (N/A = 0 puntos). El pain_point se enfoca en cumplimiento regulatorio y debida diligencia de proveedores, necesidad crítica en operaciones portuarias de recursos naturales.;0.0;0.0;;;
61950900-5;EMPRESA PORTUARIA PUERTO MONTT;11;53;INSTITUCIONES FISCALES;OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.;X REGION LOS LAGOS;Utilities / Infraestructura;True;58.0;Utilities/Infraestructura;Gestionar y evaluar proveedores críticos de infraestructura portuaria cumpliendo con regulaciones de organismos públicos (DIRECTEMAR, autoridades portuarias) y mitigando riesgos operacionales en cadena de suministro.;Como empresa portuaria estatal, está regulada por organismos externos relevantes (DIRECTEMAR y autoridades de infraestructura portuaria), por lo que asigno 15 puntos en regulación. Operando un puerto de tamaño medio (53 trabajadores), una empresa de infraestructura portuaria típicamente gestiona entre 50-200 proveedores (servicios logísticos, mantención, operación), asignando 15 puntos. Sin señal externa reportada, asigno 0 puntos. El tamaño de empresa (20 puntos) ya fue calculado en Python. Pain point relevante: necesidad crítica de evaluar proveedores en contexto de regulación estatal y riesgos operacionales de infraestructura.;0.0;0.0;;;
61945700-5;EMPRESA PORTUARIA ARICA;11;28;INSTITUCIONES FISCALES;OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.;XV REGION ARICA Y PARINACOTA;Utilities / Infraestructura;True;58.0;Utilities/Infraestructura;Gestión y evaluación de riesgos de proveedores críticos en operaciones portuarias y cumplimiento de regulaciones portuarias y aduanales;EMPRESA PORTUARIA ARICA es una autoridad portuaria estatal regulada por normativas de infraestructura crítica y aduanas (regulación: 15 puntos). Como operador de infraestructura portuaria en la XV región, gestiona múltiples proveedores de servicios logísticos, mantenimiento y operacionales (estimado 50-200 proveedores: 15 puntos). No hay señal externa reportada (N/A: 0 puntos). Su tamaño de gran empresa (28 trabajadores, tramo SII 11) y dependencia de cadena de suministro portuaria hacen de Plutto una solución relevante para debida diligencia de contrapartes.;1.0;1.0;;;
73968300-9;EMPRESA PORTUARIA ANTOFAGASTA;12;54;ORG. SIN FINES DE LUCRO;OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.;II REGION DE ANTOFAGASTA;Utilities / Infraestructura;True;58.0;Utilities/Infraestructura;Gestión de cumplimiento normativo y debida diligencia de proveedores críticos en operaciones portuarias sujetas a regulación estatal.;Como empresa portuaria estatal, EMPRESA PORTUARIA ANTOFAGASTA está regulada por entidades como la Autoridad Portuaria y normativas relacionadas con infraestructura crítica (15 puntos). Su naturaleza de operador de infraestructura estratégica implica relaciones con múltiples proveedores de servicios, suministros y contratistas (estimado 50-200 proveedores = 15 puntos). No hay señal externa reportada (0 puntos). El giro ya venía clasificado correctamente en Utilities/Infraestructura, por lo que se mantiene sin cambios.;0.0;0.0;;;
76002915-7;TRANSPORTES DON EDUARDO LIMITADA;10;118;PERSONA JURIDICA COMERCIAL;TRANSPORTE DE CARGA POR CARRETERA;VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;Utilities / Infraestructura;True;58.0;Utilities/Infraestructura;Gestión y evaluación de riesgos en cadena de suministro de transporte y logística, asegurando cumplimiento regulatorio con autoridades como CNE y evaluación continua de proveedores y colaboradores.;Empresa clasificada en Utilities/Infraestructura con 118 trabajadores (gran empresa). Sector transporte está regulado por CNE (Comisión Nacional de Energía) en aspectos de infraestructura y logística crítica (15 puntos regulación). Con 118 empleados, probablemente maneja entre 50-200 proveedores en operaciones de transporte e infraestructura (15 puntos proveedores). Sin señal externa reportada (0 puntos). El pain point se enfoca en la debida diligencia de proveedores y colaboradores en cadena logística, core de Plutto.;0.0;0.0;;;
65144029-7;COOPERATIVA DE AHORRO Y CREDITO BANCRECE;9;200;ORG. SIN FINES DE LUCRO;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;XIII REGION METROPOLITANA;Financiero;True;58.0;Financiero;Gestión de cumplimiento normativo y debida diligencia en la evaluación de proveedores y clientes bajo supervisión de la CMF;BANCRECE es una cooperativa de ahorro y crédito, por lo que está regulada por la CMF (Comisión para el Mercado Financiero), otorgando 15 puntos en regulación. Como institución financiera mediana (200 trabajadores) con 2 empresas filiales, probablemente maneja entre 50-200 proveedores considerando operaciones de tecnología, servicios de auditoría, logística y tercerización, asignando 15 puntos. No hay señal externa reportada (N/A = 0 puntos). El tamaño mediano ya fue calculado en 12 puntos. El ICP es candidato relevante para Plutto debido a sus necesidades de compliance financiero y evaluación de terceros bajo regulación CMF.;2.0;0.0;;;
59052970-2;VULCANO CHILE S A;11;38;SOCIEDADES EXTRANJERAS;CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;58.0;Utilities/Infraestructura;Gestión y evaluación de riesgos de proveedores en cadena de suministro de infraestructura crítica, cumplimiento normativo regulatorio y debida diligencia operacional.;VULCANO CHILE es una gran empresa (38 trabajadores, clasificada como gran empresa) en el sector Utilities/Infraestructura. Está regulada por CNE (Comisión Nacional de Energía) como empresa de servicios de utilidad pública/infraestructura en Chile, por lo que recibe 15 puntos en regulación. Como empresa de infraestructura, típicamente gestiona entre 50-200 proveedores (contratistas, suministros técnicos, servicios especializados), recibiendo 15 puntos en proveedores. No hay señal externa reportada (N/A), por lo que 0 puntos. El pain_point se enfoca en la necesidad crítica de evaluar proveedores y colaboradores en un sector regulado y de alta responsabilidad operacional.;1.0;1.0;;;
70286300-7;COOPERATIVA DE AHORRO Y CRÉDITO NACIONAL PARA LA FAMILIA LIMITADA;11;137;ORG. SIN FINES DE LUCRO;OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.;V REGION VALPARAISO;Financiero;True;56.0;Financiero;Gestión de riesgo en la evaluación de proveedores y contrapartes financieras, cumplimiento normativo de la CMF y prevención de fraude en operaciones de crédito.;Como cooperativa de ahorro y crédito, la empresa está regulada por la CMF (Comisión para el Mercado Financiero), lo que justifica 15 puntos en regulación. Operando en el sector financiero con 137 trabajadores, es probable que maneje entre 50-200 proveedores (servicios tecnológicos, operacionales, auditoría, etc.), asignando 15 puntos. Sin señal externa registrada, asigna 0 puntos. Su tamaño (gran empresa: 20 puntos) y naturaleza regulada la hacen un ICP ideal para Plutto.;0.0;0.0;;;
65677500-9;COOPERATIVA DE AHORRO Y CREDITO PARA EL DESARROLLO FINANCOOP;11;169;ORG. SIN FINES DE LUCRO;OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.;XIII REGION METROPOLITANA;Financiero;True;56.0;Financiero;Gestión del riesgo de cumplimiento normativo en la evaluación de proveedores y contrapartes financieras, considerando requisitos regulatorios de la CMF.;Como cooperativa de ahorro y crédito, FINANCOOP está regulada por la CMF (Comisión para el Mercado Financiero), lo que justifica 15 puntos en regulación. Con 169 trabajadores (gran empresa) y operaciones financieras, se estima entre 50-200 proveedores (servicios tecnológicos, seguros, outsourcing administrativo, etc.), asignando 15 puntos. Sin señal externa reportada (N/A), corresponde 0 puntos. El vertical ya venía clasificado como Financiero, por lo que se devuelve sin cambios.;0.0;0.0;;;
71235700-2;FUND DE SALUD TRABAJADORES BANCO DEL ESTADO DE CHILE;13;157;ORG. SIN FINES DE LUCRO;ACTIVIDADES DE ISAPRES;XIII REGION METROPOLITANA;Financiero;True;56.0;Financiero;Gestión del riesgo de proveedores y contrapartes en cadena de suministro financiero, cumplimiento normativo CMF y debida diligencia en evaluación de terceros.;Como fondo de salud del sector financiero (Banco del Estado), la empresa está regulada por CMF (15 pts). Con 157 trabajadores (gran empresa) y operaciones financieras, estima probablemente 50-200 proveedores incluyendo servicios financieros, tecnología y operacionales (15 pts). No hay señal externa reportada (0 pts). El pain_point se enfoca en la necesidad crítica de due diligence de proveedores y compliance normativo típico del sector financiero regulado.;0.0;0.0;;;
59277650-2;POWERCHINA LTD.AGENCIA EN CHILE;13;225;SOCIEDADES EXTRANJERAS;CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL;XIII REGION METROPOLITANA;Manufactura / Retail;True;55.0;Manufactura Retail;Gestión y evaluación de riesgos de una cadena amplia de proveedores internacionales y locales en operaciones de manufactura y retail.;POWERCHINA es una gran empresa (225 trabajadores) en el sector Manufactura Retail con operaciones en Chile. No presenta regulación sectorial específica (CMF, Sernageomin, SEC, CNE). Dada su tamaño y naturaleza de operaciones en manufactura y retail, es altamente probable que maneje una red extensa de proveedores (>200), típica de empresas de este calibre. Sin señal externa registrada. El pain point se alinea con la necesidad de debida diligencia en cadenas de suministro complejas.;0.0;0.0;;;
61951300-2;EMPRESA PORTUARIA IQUIQUE;11;47;INSTITUCIONES FISCALES;OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.;I REGION DE TARAPACA;Utilities / Infraestructura;True;55.0;Utilities/Infraestructura;Gestión y evaluación de riesgos en la cadena de proveedores portuarios, cumplimiento normativo regulatorio y debida diligencia en contrataciones críticas de infraestructura.;EMPRESA PORTUARIA IQUIQUE es una empresa estatal del sector portuario regulada por CNE y autoridades marítimas (DIRECTEMAR). Como infraestructura crítica portuaria, está sujeta a regulación en operaciones y proveedores (15 puntos). Con 47 trabajadores y operaciones portuarias, requiere una cadena de proveedores para servicios de logística, mantenimiento y operaciones (estimado 50-200 proveedores = 15 puntos). No hay señal externa reportada (0 puntos). El vertical Utilities/Infraestructura se mantiene sin reclasificación.;0.0;0.0;;;
53105520-9;ASOC GREMIAL DE DUENOS DE CAMIONES DE LA SEXTA REGION;11;34;SIN PER. JURIDICA;TRANSPORTE DE CARGA POR CARRETERA;VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;Utilities / Infraestructura;True;55.0;Utilities/Infraestructura;Evaluar y monitorear la conformidad regulatoria de proveedores de transporte y logística, asegurando cumplimiento de normativas de seguridad vial y licencias de operación.;La asociación gremial de dueños de camiones está regulada por la CNE y autoridades de transporte (por normativas de operación y seguridad vial). Como gremial que agrupa a transportistas, probablemente gestiona entre 50-200 proveedores/asociados y requiere verificar cumplimiento regulatorio. Sin señales externas reportadas (N/A). El giro es claramente Utilities/Infraestructura. Puntos: regulación 15 (sí regulada), proveedores 15 (rango medio por naturaleza gremial), señal 0 (N/A).;0.0;0.0;;;
61946300-5;EMPRESA PORTUARIA COQUIMBO;11;20;INSTITUCIONES FISCALES;OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.;IV REGION COQUIMBO;Utilities / Infraestructura;True;55.0;Utilities/Infraestructura;Gestión y evaluación de riesgos en la cadena de proveedores portuarios y cumplimiento de regulaciones de infraestructura crítica;Como empresa portuaria estatal, EMPRESA PORTUARIA COQUIMBO está regulada por entidades como CNE y probablemente por normas de infraestructura crítica (15 puntos regulación). Siendo operador portuario, maneja una cantidad moderada de proveedores entre 50-200 (contratistas, servicios logísticos, mantenimiento) sin ser masiva como retail (15 puntos proveedores). No hay señal externa reportada (0 puntos). El tamaño de 20 trabajadores se considera gran empresa en contexto de utilidades (20 puntos). El dolor principal es la necesidad de debida diligencia continua en proveedores para cumplir regulaciones de infraestructura crítica y gestionar riesgos operacionales.;0.0;1.0;;;
76001597-0;IMMERSIVE TECHNOLOGIES CHILE S.A.;11;38;PERSONA JURIDICA COMERCIAL;VENTA AL POR MAYOR DE MAQUINARIA METALURGICA, PARA LA MINERIA, EXTRACCION DE PETROLEO Y CONSTRUCCION;XIII REGION METROPOLITANA;Mining / Energía;True;55.0;Mining/Energía;Gestión y evaluación de riesgos de proveedores en cadena de suministro minero-energética, cumplimiento normativo con reguladores como Sernageomin y CNE.;La empresa opera en Mining/Energía, sector altamente regulado en Chile. Se asignan 15 puntos por regulación dado que probablemente está sujeta a supervisión de Sernageomin (minería) y/o CNE (energía). Con 38 trabajadores y estructura de grupo empresarial (2 empresas padres), se estima entre 50-200 proveedores, asignando 15 puntos. Sin señal externa reportada, se asignan 0 puntos. Como gran empresa en sector regulado, Plutto puede resolver su necesidad de debida diligencia de proveedores y cumplimiento normativo.;0.0;2.0;;;
70849500-K;EMPRESA ELECTRICA MUNICIPAL DE TIL TIL;10;27;ORG. SIN FINES DE LUCRO;DISTRIBUCION DE ENERGIA ELECTRICA;XIII REGION METROPOLITANA;Mining / Energía;True;55.0;Mining/Energía;Gestión de conformidad regulatoria de proveedores y contratistas en el sector energético, asegurando cumplimiento de normativas de la CNE y evaluación de riesgos operacionales críticos.;La empresa es una distribuidora eléctrica municipal, por lo que está regulada por la CNE (Comisión Nacional de Energía) y sujeta a normativas del sector energético chileno, otorgando 15 puntos en regulación. Con 27 trabajadores clasificada como gran empresa, probablemente maneja entre 50-200 proveedores para operaciones, mantenimiento e infraestructura eléctrica, otorgando 15 puntos. No hay señal externa reportada (N/A). El pain_point se enfoca en la necesidad crítica de debida diligencia de proveedores en un sector regulado y de infraestructura esencial.;0.0;0.0;;;
76000605-K;ARCO ALIMENTOS LIMITADA;11;461;PERSONA JURIDICA COMERCIAL;ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.;XIII REGION METROPOLITANA;Manufactura / Retail;True;55.0;Manufactura Retail;Gestión y evaluación de riesgos en una cadena de proveedores compleja de manufactura y distribución retail;ARCO ALIMENTOS es una gran empresa (461 trabajadores) en manufactura retail con 2 empresas matrices, lo que sugiere un grupo corporativo con operaciones complejas. No está sujeta a reguladores específicos como CMF, Sernageomin, SEC o CNE (0 puntos regulación). Dada su escala, giro y estructura, es altamente probable que maneje más de 200 proveedores entre insumos alimentarios, logística y distribución (25 puntos proveedores). No hay señal externa reportada (0 puntos señal). El pain_point crítico es la necesidad de evaluar y monitorear continuamente sus múltiples proveedores y colaboradores en la cadena de manufactura y retail, donde Plutto agrega valor máximo.;0.0;2.0;;;
61214000-6;SERVICIOS PORTUARIOS PATILLOS S A;11;12;PERSONA JURIDICA COMERCIAL;ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE ACUATICO;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;55.0;Utilities/Infraestructura;Evaluación y monitoreo de proveedores portuarios y contratistas para cumplir con regulaciones de infraestructura crítica y estándares de seguridad operacional.;La empresa opera en servicios portuarios, sector crítico regulado por autoridades como la Dirección General del Territorio Marítimo y Marina Mercante (regulación portuaria). Como gran empresa (20 puntos) en infraestructura con 2 empresas matrices, probablemente gestiona múltiples proveedores de servicios especializados (estimado 50-200: contratistas portuarios, logística, mantenimiento, seguridad), justificando 15 puntos en proveedores. Sin señal externa reportada (N/A = 0 puntos). El pain point refleja la necesidad crítica de compliance en operaciones portuarias donde los riesgos de proveedores impactan operatividad e integridad regulatoria.;0.0;2.0;;;
76000239-9;TERMINAL MARITIMO OXIQUIM MEJILLONES S.A.;11;26;PERSONA JURIDICA COMERCIAL;OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;55.0;Utilities/Infraestructura;Gestión y cumplimiento regulatorio de proveedores en operaciones portuarias y de infraestructura marítima, con énfasis en debida diligencia de contratistas y proveedores críticos;Terminal Marítimo Oxiquim es una empresa de infraestructura portuaria regulada por CNE y autoridades marítimas (DIRECTEMAR/Capitanía de Puerto), lo que genera obligaciones de compliance estrictas. Como operador de terminal, maneja múltiples proveedores (servicios logísticos, mantención, seguridad, operaciones), estimados entre 50-200. Sin señal externa aparente en los datos proporcionados (N/A). El tamaño de empresa (20 puntos) y naturaleza operativa hacen que la gestión de riesgos de proveedores sea crítica para cumplimiento regulatorio.;0.0;2.0;;;
71173500-3;ASOC GREMIAL DE DUENOS DE CAMIONES DE TALTAL;10;15;ORG. SIN FINES DE LUCRO;TRANSPORTE DE CARGA POR CARRETERA;II REGION DE ANTOFAGASTA;Utilities / Infraestructura;True;55.0;Utilities/Infraestructura;Evaluación y monitoreo continuo de proveedores de servicios de transporte y logística para cumplir con estándares regulatorios de seguridad vial y operacional.;La asociación gremial de dueños de camiones está bajo el alcance de regulación de transporte terrestre (CNE/SEC en materias de transporte). Siendo una asociación con 15 trabajadores que coordina a múltiples camioneros, probablemente gestiona entre 50-200 proveedores/afiliados y servicios conexos (combustible, mantención, seguros). No hay señal externa reportada (N/A). El pain_point se basa en que estas asociaciones requieren cumplimiento regulatorio riguroso en transporte y necesitan debida diligencia en proveedores de servicios críticos.;0.0;0.0;;;
59166410-7;IBERIA LINEAS AEREAS DE ESPANA S.A OPERADORA AGENCIA EN CHILE;13;14;SOCIEDADES EXTRANJERAS;TRANSPORTE DE PASAJEROS POR VIA AEREA;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;55.0;Utilities/Infraestructura;Gestión y evaluación de riesgos de proveedores críticos en operaciones aéreas, cumplimiento normativo regulatorio y debida diligencia en cadena de suministro internacional.;Iberia es aerolínea operadora regulada por CNE y autoridades aeronáuticas (15 pts regulación). Con 14 trabajadores en operaciones locales pero parte de estructura global, probablemente gestiona 50-200 proveedores de servicios críticos (combustible, mantenimiento, catering, ground handling) típico de operadora aérea (15 pts proveedores). Sin señal externa reportada (0 pts). Como operadora aérea internacional en Chile, enfrenta regulación compleja y necesita compliance en múltiples jurisdicciones, lo que representa un pain point relevante para Plutto.;0.0;0.0;;;
59238930-4;BANK OF CHINA, AGENCIA EN CHILE;11;44;SOCIEDADES EXTRANJERAS;ACTIVIDADES BANCARIAS;XIII REGION METROPOLITANA;Financiero;True;53.0;Financiero;Gestión de debida diligencia en proveedores y contrapartes financieras para cumplir con regulaciones de la CMF y prevenir riesgos de lavado de activos y financiamiento del terrorismo.;Bank of China es una institución financiera regulada por la CMF (Comisión para el Mercado Financiero), lo que otorga 15 puntos en regulación. Como banco, probablemente mantiene entre 50-200 proveedores (servicios tecnológicos, logística, consultoría, etc.), otorgando 15 puntos en proveedores. No hay señal externa reportada (N/A = 0 puntos). El tamaño de gran empresa ya fue contabilizado en los 20 puntos base. El pain point se enfoca en la necesidad crítica de evaluar contrapartes debido a regulaciones financieras estrictas.;0.0;0.0;;;
71554600-0;FUNDACION CHINQUIHUE;9;71;ORG. SIN FINES DE LUCRO;ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE ACUATICO;X REGION LOS LAGOS;Utilities / Infraestructura;True;53.0;Utilities/Infraestructura;Gestión de cumplimiento normativo y debida diligencia de proveedores críticos en infraestructura regulada;FUNDACION CHINQUIHUE opera en Utilities/Infraestructura en la X Región Los Lagos con 71 trabajadores (mediana empresa). Como entidad en este vertical, está probablemente regulada por la CNE (Comisión Nacional de Energía) dado el giro de utilities. Con 71 empleados y 1 empresa hija, estima una cadena de suministro de 50-200 proveedores típica para infraestructura (15 puntos). Sin señal externa reportada (N/A = 0 puntos). El pain_point principal es la gestión de riesgos de proveedores en sector regulado, donde Plutto agrega valor en compliance.;1.0;0.0;;;
59203500-6;CHINA CONSTRUCTION BANK, AGENCIA EN CHILE;12;42;SOCIEDADES EXTRANJERAS;ACTIVIDADES BANCARIAS;XIII REGION METROPOLITANA;Financiero;True;53.0;Financiero;Gestión de debida diligencia de proveedores y contrapartes en contexto regulatorio CMF, con evaluación continua de riesgos de compliance y reportes para cumplimiento normativo.;China Construction Bank es una institución financiera regulada por CMF (15 puntos). Como banco internacional con operaciones en Chile, maneja múltiples proveedores de servicios financieros, tecnología y operacionales (estimado 50-200: 15 puntos). No hay señal externa reportada (0 puntos). El caso de uso es fuerte para Plutto: bancos requieren KYB exhaustivo de contrapartes, detección de riesgos y compliance continuo según regulaciones CMF.;0.0;0.0;;;
